"time","scramble","date"
01:06.925,F2 R L2 U' B U R D' F2 U' B' L2 F2 D B2 U2 R2 L2 U',2020-06-08 22:11:00 UTC
01:06.046,R F2 R2 D2 B2 R D2 F2 U2 F L F' D U2 B F D L' B' U',2020-06-08 22:13:00 UTC
01:07.975,L2 F L2 B L2 B' U2 L2 U' F2 D' F L2 F L2 D2 L' B L,2020-06-08 22:16:00 UTC
00:53.062,U2 L' D2 L R F2 D2 F2 R' D' B' D' U' B D2 L' D L2 B,2020-06-08 22:18:00 UTC
01:02.829,B2 L' F' U L' F U2 B2 L' U2 B D F2 L2 U2 R2 L2 F2 D2,2020-06-08 22:19:00 UTC
00:55.224,R' D L2 D' B' D2 R U L U2 B' R2 L2 U2 B2 D F2 U' L2 B2,2020-06-09 08:50:00 UTC
00:50.563,L U F L F2 L2 D R D B L2 U2 F2 L' U2 R F2 R' D2 B2,2020-06-09 08:51:00 UTC
00:59.932,F2 R' F2 R2 D2 L' U2 B D' B2 F' U' B2 D' F2 U B2 L,2020-06-09 08:53:00 UTC
00:55.561,R' D L' B' U B R' B' L B U2 L2 F2 U2 R2 D' L2 U R2 L2 D',2020-06-09 08:55:00 UTC
00:59.417,R2 B' R2 B2 L D F2 U2 F R' L2 B2 U2 F2 D' B2 U R2 F2,2020-06-09 08:56:00 UTC
00:58.197,U2 F2 B' R' D L D B' U2 F' D' L2 F2 L2 F2 U2 B2 U2 L' U2,2020-06-09 08:58:00 UTC
00:52.910,D2 L2 F2 L2 F2 D U2 F2 D B2 F U2 F' R D2 B' F U R' F',2020-06-09 09:03:00 UTC
01:09.769,R D2 F' D' F2 L B' R' U2 F D' F2 D2 R2 F2 R2 D' R2 L2 F2,2020-06-09 15:03:00 UTC
01:00.355,L2 F2 D' F2 U' B2 D U B2 L2 R U2 F' U' B' F' R' B' L',2020-06-09 15:05:00 UTC
00:52.638,D R2 L' U2 B R D' R F U2 F L2 U2 B2 U' B2 U2 B2,2020-06-09 15:07:00 UTC
01:20.682,F L2 U2 L2 R2 B2 L2 B' U2 L R U R' D2 F D R2 F' R' B,2020-06-09 15:09:00 UTC
00:56.581,L U' B' U D R' L F R2 B D' R2 U' R2 B2 U' D2 R2 D2 B2,2020-06-09 15:11:00 UTC
01:10.222,D' B2 U2 L' F2 B' U B' R2 B' U' R2 F' U2 R2 B2 D2 R2 F2,2020-06-09 15:13:00 UTC
01:15.929,F2 L2 D' F2 R2 B2 L2 D R2 D2 B U L' U2 R F' R2 D' L2 F,2020-06-09 15:16:00 UTC
